J204634-565650 20h46m34.4237s,-56d56m50.6472s 9351
J205558-562200 20h55m58.4863s,-56d21m59.328s 9351
J204302-545020 20h43m02.4744s,-54d50m20.9724s 9351
J205840-565530 20h58m40.7712s,-56d55m30.4356s 9351
J205836-540904 20h58m36.6235s,-54d09m04.2912s 9351
J204306-531353 20h43m06.0934s,-53d13m53.6592s 9351
J205559-560946 20h55m59.7506s,-56d09m46.1052s 9351
J203529-525810 20h35m29.8553s,-52d58m10.9596s 9351
J203202-533756 20h32m02.723s,-53d37m56.496s 9351
J204810-562022 20h48m10.0174s,-56d20m22.8048s 9351
J204108-525446 20h41m08.9191s,-52d54m46.4184s 9351
J203203-534435 20h32m03.391s,-53d44m35.6424s 9351
J203407-570746 20h34m07.0138s,-57d07m46.6428s 9351
J203419-564951 20h34m19.3918s,-56d49m51.15s 9351
J203409-525301 20h34m09.259s,-52d53m01.6656s 9351
J204714-533135 20h47m14.5342s,-53d31m35.238s 9351
J201838-572516 20h18m38.9021s,-57d25m16.806s 9351
J210238-564630 21h02m38.9004s,-56d46m30.5292s 9351
J202111-540824 20h21m11.2769s,-54d08m24.6264s 9351
J203152-534630 20h31m52.4474s,-53d46m30.4644s 9351
J202648-552249 20h26m48.1003s,-55d22m49.1736s 9351
J202643-552146 20h26m43.0922s,-55d21m46.5048s 9351
J203612-571144 20h36m12.1848s,-57d11m44.8368s 9351
J205837-575639 20h58m37.8614s,-57d56m39.642s 9351
J203905-575200 20h39m05.2416s,-57d52m00.7536s 9351
J202557-555638 20h25m57.4058s,-55d56m38.3388s 9351
J203945-535524 20h39m45.6074s,-53d55m24.0276s 9351
J210619-564827 21h06m19.4657s,-56d48m27.1836s 9351
J204036-531553 20h40m36.677s,-53d15m53.5932s 9351
J203546-525353 20h35m46.2974s,-52d53m53.394s 9351
J202313-563243 20h23m13.3685s,-56d32m43.5696s 9351
J204446-532026 20h44m46.1318s,-53d20m26.682s 9351
J204454-532034 20h44m54.2885s,-53d20m34.548s 9351
J203500-550100 20h35m00.3528s,-55d01m00.3396s 9351
J203454-550038 20h34m54.253s,-55d00m38.1852s 9351
J203041-542804 20h30m41.4233s,-54d28m04.2672s 9351
J203557-540757 20h35m57.7646s,-54d07m57.4104s 9351
J202446-540020 20h24m46.5881s,-54d00m20.0484s 9351
J203927-533647 20h39m27.7229s,-53d36m47.3868s 9351
J202035-541740 20h20m35.8447s,-54d17m40.8264s 9351
J203947-561132 20h39m47.8829s,-56d11m32.2296s 9351
J202311-565655 20h23m11.4984s,-56d56m55.2336s 9351
J203035-551254 20h30m35.2056s,-55d12m54.216s 9351
J203120-532248 20h31m20.4794s,-53d22m48.7956s 9351
J205813-550510 20h58m13.001s,-55d05m10.158s 9351
J205105-565500 20h51m05.4574s,-56d54m59.1552s 9351
J204122-550111 20h41m22.1438s,-55d01m11.9676s 9351
J205512-543125 20h55m12.4265s,-54d31m25.2552s 9351
J204927-564020 20h49m27.5678s,-56d40m20.5608s 9351
J204916-563939 20h49m16.7832s,-56d39m39.7764s 9351
J204758-574255 20h47m58.4959s,-57d42m55.4112s 9351
J203954-545245 20h39m54.3434s,-54d52m45.21s 9351
J204256-560436 20h42m56.6093s,-56d04m36.6096s 9351
